artist_name,artist_id,country,begin_date,end_date,type,gender,disambiguation
Otis Redding,82b1f5fd-cd31-41a9-b5d4-7e33f0eb9751,US,1941-09-09,1967-12-10,Person,male,
Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,US,2008,,Group,,American pop rock band
Stephen Paulus,3e1fa1ce-f8d4-4491-b8d0-6ac688562fa4,US,1949-08-24,2014-10-19,Person,male,
Bishop T.D. Jakes,f0ddcf13-abd4-4caa-977b-0576c017b68c,US,1957-06-09,,Person,male,
Eugene Levy,8ddf3da1-dfa9-490a-93cc-7d4072319995,JM,1964-04-30,,Person,male,
Thelonious Monk,8e8c7417-c905-46b1-b42a-5260b4274ed4,US,1917-10-10,1982-02-17,Person,male,
Dawn Upshaw,cc199c4d-2e0b-4e35-8fce-1ccc10d2b1fa,US,1960-07-17,,Person,female,soprano
Truls Mork,6b615abc-3b9b-4064-97ea-25f8079ff21b,NO,1961-04-25,,Person,male,Norwegian cellist
producer; Charles Bruffy,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,,,,Person,male,
Baltimore Symphony Orchestra,38712b4c-0fd4-4c65-8c7a-45676fecc973,GB,1904,,Orchestra,,
Dick Van Dyke,33ec3ccd-ae01-42fa-b874-095dfbfd522f,US,1925-12-13,,Person,male,US actor
Kraftwerk,5700dcd4-c139-4f31-aa3e-6382b9af9032,DE,1970,,Group,,
P. Diddy,cabb4fcf-4067-4ba5-908d-76ee66fcf0c6,US,1969-11-04,,Person,male,"Sean Combs, aka Puff Daddy, P. Diddy"
Bones UK,a57d7a1b-b7ef-4f36-bbf6-9f5a167cd08d,GB,1977,,Group,,English punk band
Bonobo,9a709693-b4f8-4da9-8cc1-038c911a61be,GB,1976-03-30,,Person,male,UK electro artist Simon Green
The Drifters,9e2d3f58-0653-4007-bcb7-1746fcdd9363,US,1953-05,,Group,,US doo wop/R&B vocal group
Saint Sinner,0757fc49-68e3-4369-b4de-1e6b97d379c1,DE,1980,,Group,,German metal band
Fantasia,4a5d70ad-89c8-47a1-afb2-4cc26471e113,US,1984-06-30,,Person,female,US R&B singer Fantasia Monique Barrino
Friends,b1e1a8c9-2aca-499d-9653-3f02c3ed73c5,US,2003,,Group,,American jam band
Brook Benton,e449337e-4192-415d-88d0-81352c068d2c,US,1931-09-19,1988-04-09,Person,male,
Ricardo Montaner,9ea7c031-a2d0-4a89-b469-72b51c47417c,VE,1957-09-08,,Person,male,
songwriters (The Folksmen,62e3e80f-af5e-4e86-b053-fd8b790c1a97,US,,,Group,,
James Ehnes,e9d3cf06-25b2-4453-873e-d4672bb34538,CA,1976-01-27,,Person,male,violinist
Shirley Caesar's Outreach Convention Choir,cc60d937-e80b-4c66-8aa2-e89cb57c8b08,GB,1967,,Group,,English folk rock band
Chico Pinheiro,15a099bb-49b4-40d9-bd01-d7f18d14d64d,BR,1975-12-08,,Person,male,
Gorillaz,e21857d5-3256-4547-afb3-4b6ded592596,,1999,,Group,,virtual band
Karl Bohm,cdb34f45-c9d3-4f14-a79a-bc1da62455cc,AT,1894-08-28,1981-08-14,Person,male,Austrian conductor
Vox Clamantis; Sinfonietta Riga,6d5729ef-96e1-4d3d-8c1b-f9ba692b997e,EE,1996,,Group,,
The Brian Lynch/Eddie Palmieri Project,42b5af45-312e-4dc1-ad0c-84dea2d5dcb2,US,1936-12-15,,Person,male,
Olga Tañón,368e6707-d17c-4f06-97e2-cca841afd52f,PR,1967-04-13,,Person,female,
Ambrosian Opera Chorus; English Chamber Orchestra,9ade995f-2a67-4268-8220-07ffd2d4984e,,,,Choir,,
DACA Artists,89ad4ac3-39f7-470e-963a-56509c546377,,,,Other,,add compilations to this artist
Robert Cray,7112c4bc-5b15-4180-bfd5-2ca76745e87c,US,1953-08-01,,Person,male,
Trondheimsolistene,44c7597e-bc59-4eb6-aaf1-af52ce2cff9e,NO,1988,,Group,,
University Of Michigan University Choir; University Of Michigan School Of Music Symphony Orchestra,d3fe0656-156c-4563-a571-367397834b2f,,,,Choir,,
Brad Mehldau,b7723b3f-9a35-438d-bc42-8ad8b5e027ae,US,1970-08-23,,Person,male,
Original Broadway Cast With Jonathan Groff,f2e11566-b21e-4387-b7f6-e1c24d46fbde,US,1985-03-26,,Person,male,
Walter Hawkins,5c8cb181-38fe-4300-8153-650b2ed0258f,US,1904-11-21,1969-05-19,Person,male,
(Jim Henson's Muppets,5734d19f-2f53-41ba-9f5f-30507912ab37,,,,Group,,French iteration of Jim Henson's Muppets
Jonas Brothers,6e019bc6-5c23-4935-94f0-4a896631d846,US,2005,,Group,,
Grover Mitchell,a6de8ef9-b1a1-4756-97aa-481bbb8a4069,CA,1943-11-07,,Person,female,
Bent Fabric,9462c12a-8ca7-4ddb-b139-abf6f8116baa,DK,1924-12-07,2020-07-28,Person,male,Danish pianist and composer
Soweto Gospel Choir,49dca4c0-4554-42cd-9b93-ef85b1aaf118,ZA,2002-11,,Choir,,
Chris Tomlin,b50b36b5-aec1-401f-a722-e5ab673af14d,US,1972-05-04,,Person,male,
Cynthia Latham,ed5ef774-19ce-4bd1-88ad-0591bf93b272,,,,,,
Rundfunkchor Berlin; Berliner Philharmoniker,d0cbe60f-f919-4873-8c64-537fd600a4f5,DE,1925-05,,Choir,,
George Burns,013fddaf-c7bd-4db5-93c5-a56b6e14ea67,US,,,Person,female,
Dire Straits,614e3804-7d34-41ba-857f-811bad7c2b7a,GB,1977,1995,Group,,
James Corden,4fe629e4-e055-4330-b6d3-70c2cf0b2ae5,,1978-08-22,,Person,male,
Bill Charlap,85cc88c3-f595-463a-8674-a54a6891eaa9,US,1966-10-15,,Person,male,
Tim Handley,10ab5755-ad56-4e85-a30f-ccfee81cf9d5,GB,1930-11-11,2008-09-10,Person,male,conductor
Phoenix Chorale,4277388f-f416-4029-b4b3-0574ba0b6ee8,US,1958,,Choir,,
"Clarence ""Gatemouth"" Brown",039e3952-2f73-49f4-86fe-7aaee4a89a17,US,1924-04-18,2005-09-10,Person,male,
Operatic Recital,60d76bd3-f252-4050-8ff3-d78bf6a18ea4,US,,,Group,,
The Brian Setzer Orchestra,3c98e32e-5bf5-4484-bdab-bd8d1736112a,US,1990,,Group,,
Carrie Fisher,04fb59cd-c27e-4fda-a280-2ce6f2a75d1a,US,1956-10-21,2016-12-27,Person,female,
The New Broadway Cast,a0ef7e1d-44ff-4039-9435-7d5fefdeecc9,,,,Other,not applicable,"Special Purpose Artist - Do not add releases here, if possible."
Union Station,89ad4ac3-39f7-470e-963a-56509c546377,,,,Other,,add compilations to this artist
Brooklyn Tabernacle Choir,cd07140b-1bbf-4fab-baad-881c1637a9ee,US,1971-09-11,,Choir,,
Ethan Hulse,3e7e16f2-6e25-4338-a781-3e3a3e54f752,US,,,Person,male,
Keith Phares,e1ca1653-0c72-4807-bf5a-c81d6751215a,US,,,Person,male,baritone
Harold Faltermeyer,3bd08e76-bf53-4b16-82ee-63f95ca5cdae,DE,1952-10-05,,Person,male,
Erich Leinsdorf,2c145d01-a05a-4b68-9bf8-06c949df66ea,AT,1912-02-04,1993-09-11,Person,male,conductor
Vikki Carr,06e7ad00-7257-4f5e-837f-81eeda8e0685,US,1941-07-19,,Person,female,
