artist_name,artist_id,country,begin_date,end_date,type,gender,disambiguation
Paul Avgerinos,ce69efdf-234a-412e-8017-781f1214cff6,US,1957-11-21,,Person,male,
Damian Marley,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,JM,1945-02-06,1981-05-11,Person,male,Jamaican reggae artist
Derek Bermel,f5a40a05-93ef-4553-9354-74484cfd4a5b,US,1967,,Person,male,
Chick Corea Trio,04759bda-d8ba-419d-9daf-279f25c8446c,,,,Group,,
Ralph Stanley,845adb53-9281-41ff-a911-c0af49f3c943,US,1927-02-25,2016-06-23,Person,male,
Boston Symphony Chamber Players,9c07606f-aecd-431b-a7fc-b0b93d2a1db7,US,1964,,Group,,
Gipsy Kings,44a7f7d5-79df-4f44-8f5e-02dfc0626904,FR,1978,,Group,,
Lauryn Hill,e8414012-4a1c-4ad4-be5e-fc55294e28cc,US,1975-05-26,,Person,female,
Clean Bandit,dacc2d64-7e59-42a8-87a9-10c53919aff2,GB,2008,,Group,,
Patricia Risley,290900ed-31c4-410b-b448-5687a25ef2db,US,,,Group,,
San Francisco Ballet Orchestra,1d2a8e29-4869-4d10-9ba2-21d552d9f169,,1933,,Orchestra,,
Gerry Mulligan,68f19808-1f7b-46d4-bd1d-71aaf0f6b267,US,1927-04-06,1996-01-20,Person,male,
Katrina Lenk,d82d9fb7-e645-4080-91f3-d2b867a14433,,,,Person,female,
Sir Mix-A-Lot,05539fb8-b7a5-4012-97a9-5e27ddc031fb,US,1963-08-12,,Person,male,
Art Tatum,e073f6af-d696-4340-b847-e81fabc4d55b,US,1909-10-13,1956-11-05,Person,male,US jazz pianist
Michael McDonald,cacbe57b-02d0-4d21-be86-c8a3a5ea6e1e,US,1952-02-12,,Person,male,R&B & soul singer
Robert Johnson,8a8bbba6-72f7-4900-a306-c40b94f2631b,US,1911-05-08,1938-08-16,Person,male,1930s blues legend
Rodney Crowell,a201fa9d-5896-423d-b629-327228c62a7c,US,1950-08-07,,Person,male,
Lupe Fiasco,cf15719f-51f9-4db8-a15d-5eed9664ce69,US,1982-02-16,,Person,male,
James Brown,20ff3303-4fe2-4a47-a1b6-291e26aa3438,US,1933-05-03,2006-12-25,Person,male,The Godfather of Soul
Brecker Brothers,46bdb0fa-6db1-44ea-b7b1-57de05b2cba1,US,,,Group,,
Tierney Sutton Band,1ad54e37-e0c1-4fc8-b367-3205403b9273,US,,,Group,,
Diana Krall,67d2cb7a-9ddb-4a7f-82bf-5a2d1a038e98,CA,1964-11-16,,Person,female,
TobyMac,8484e4ab-b6b5-4326-b837-72eb72c9e8a4,US,1964-10-22,,Person,male,Christian rapper Toby McKeehan
Boston Symphony Orchestra,6ed6a493-0300-428d-82da-91c62b4d50aa,,1881,,Orchestra,,
Paul Riser,2387a257-4b30-4af0-af33-d7e5eaa0b5f9,US,1936-08-15,,Person,male,
Aino Jawo,8870ec41-3a85-4461-86bf-e2012307b30e,SE,1986-07-07,,Person,female,
Arthur Fiedler,7c0ae486-bab5-410f-9ece-255c11f4876d,US,1894-12-17,1979-07-10,Person,male,conductor
Matthew West,40baf67d-1490-47e2-95e4-c83273df7c9f,US,1977-04-25,,Person,male,US CCM musician and actor
Korn,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,US,1993,,Group,,US nu metal band
Jennifer Holliday,52a315e2-5bf1-49fe-b666-fca924c8a0d4,US,1960-10-19,,Person,female,
FKA twigs,1e4e9db7-5068-4a9c-bdd0-5777e47172c8,,1988-01-16,,Person,female,British electro-pop artist
Ludwig Orchestra,1f9df192-a621-4f54-8850-2c5373b7eac9,DE,1770-12-17,1827-03-26,Person,male,German composer
songwriters (Jennifer Hudson),95b5d5b5-46c4-4c3e-89d5-ffe9236427ac,US,1981-09-12,,Person,female,
Bon Jovi,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,US,1983,,Group,,group
Bob Carlisle,2925aac9-5474-4030-b8a3-4151107010b2,US,1958-08-17,,Person,female,
Dan Auerbach,fa4f4b89-3ddc-4e97-88fa-0e30121f986a,US,1979-05-14,,Person,male,
Men At Work,395cc503-63b5-4a0b-a20a-604e3fcacea2,AU,1979,1985,Group,,Australian rock band
King Curtis,151231cb-fca6-42e0-976a-66b07193d657,US,1934-02-07,1971-08-13,Person,male,saxophonist
Gwen Stefani,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,US,1969-10-03,,Person,female,
Booker T,c842d29f-a297-48cd-bb71-4f77fd672b16,GB,1967,1977-09-16,Group,,UK band
Pollution,17635163-5f7f-4697-992c-d81563bff967,,,,Person,male,
Chet Atkins,5810667a-9db6-4fd0-abac-667cdac5d415,US,1924-06-20,2001-06-30,Person,male,
Terry Bozzio,c4056664-378d-4c22-8402-b6a5c644f0e6,US,1950-12-27,,Person,male,
Neil Young,75167b8b-44e4-407b-9d35-effe87b223cf,CA,1945-11-12,,Person,male,"Canadian singer, songwriter & musician"
Porter Wagoner And The Blackwood Brothers,942123a3-df28-463f-9f6e-202b69b8e253,US,1927-08-12,2007-10-28,Person,male,
Charley Pride,1c1de177-984d-4208-9177-ca94f8776a39,US,1934-03-18,2020-12-12,Person,male,
Lil Baby,d42a5768-ada1-4fb6-85fd-f61aba6264e0,US,1994-12-03,,Person,male,
Al Franken,b0a3dda1-2cc0-404e-a26d-cdb3f302eb41,US,1951-05-21,,Person,male,comedian
The New Broadway Cast Including Bernadette Peters,87f63ba8-cbdd-49ee-a976-416778f51f43,US,1948-02-28,,Person,female,
Carmen Twillie,39331b2f-9df0-4de1-a3ee-c28dd103045c,US,1950,,Person,female,
Les Paul,ba550d0e-adac-4864-b88b-407cab5e76af,GB,1942-06-18,,Person,male,The Beatles
Earl Scruggs,71fcf554-e192-49d0-8cae-060ac46b1083,US,1924-01-06,2012-03-28,Person,male,
Rubén Blades Con Roberto Delgado,4be28b59-e963-4bb6-ac26-b2ed463f4465,,,,Person,male,
Young Nudy,79c9b9a6-4b78-4738-8b81-95b066321ea9,US,1992-12-17,,Person,male,Atlanta rapper
Jelly Roll Morton,3d094919-071f-4070-95dc-e1f350e4a5f3,US,1885-10-20,1941-07-10,Person,male,
Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234,GB,1996-09,,Group,,
"Reuben ""Lucky Oceans"" Gosfield",e7f1d1a1-51e9-4e1a-9380-efda0c898876,US,1951-04-21,,Person,male,
Gerome Ragni,db7859c4-768f-4051-b77f-3e0df2dbbaaa,US,1935-09-11,1991-07-10,Person,male,
Mel Tormé,4439c2fd-a754-4f6a-b3a6-791b47726156,US,1925-09-13,1999-06-05,Person,male,“The Velvet Fog”
Joan Tower,c53ec564-3fe8-4ac3-aef0-c605ee4168de,US,1938-09-06,,Person,female,American composer
Norman Mackenzie,87da6136-87a8-4a00-a972-e5d7ffe62e65,US,,,Person,male,
Maurizio Pollini,afdfd1f3-e3c2-47e7-b861-465678a3dbc2,IT,1942-01-05,2024-03-23,Person,male,pianist
Arts Seminar Mass Choir,47ac6066-045e-43c1-b84c-d4db8a813ad6,,,,Choir,,
guitar,defba3df-b0f3-4ef1-8e1f-4ef88cc8fc42,US,1935-02-03,1996-05-17,Person,male,
Dave Alvin,306ebc54-d11c-4bf4-9f37-27adc37d00b4,US,1955-11-11,,Person,male,"singer-songwriter, guitarist"
Stevie Ray Vaughan,f5426431-f490-4678-ad44-a75c71097bb4,US,1954-10-03,1990-08-27,Person,male,
John Michael Montgomery,9647191b-5891-4885-bccc-f6bb9b200a6d,US,1965-01-20,,Person,male,
engineer,c1fbe2ea-ce7c-44ac-bfda-306c5bf0952a,,,,,,
Sigourney Weaver),ca435991-8c0e-4469-b1ce-164046e1fbb4,US,1949-10-08,,Person,female,actress
Keely Smith,ca3f7a20-1bff-4404-8928-f8eedab1ab4a,US,1928-03-09,2017-12-16,Person,female,
John Daversa,aa90cab1-0d99-4a00-8334-53fd6a4fa13e,US,,,Person,male,
The Monday Night Orchestra,0387b105-e4a9-45e8-9e2c-e1940770894c,US,,,Group,,
Dale Clevenger,b87b2013-ecb5-4d15-94b6-715c56a9b0ff,US,1940-07-02,2022-01-05,Person,male,horn player
Lucinda Williams,21685b15-3074-446e-aa1d-ff7157014f53,US,1953-01-26,,Person,female,
Irene Cara,26358fa2-80c2-47b0-a08b-33817caca7e8,US,1959-03-18,2022-11-25,Person,female,
The Derek Trucks Band,bb110dbc-8daa-407f-a04b-f569e7a5ee7e,US,1994,,Group,,
Seattle Symphony,0b51c328-1f2b-464c-9e2c-0c2a8cce20ae,US,1903,,Orchestra,,
George Benson (,467f69b6-8d6d-4d2c-bfad-e89adf2806ff,US,1943-03-22,,Person,male,jazz guitarist/singer
Sara Ramirez,c305ea0a-a100-417f-94b1-62b6fbc0110d,IT,,,Group,,"hardcore/gabber, Davide Rizzatti, Elvio Moratto & Ricki Persi"
Rufus,944e398b-4240-4d73-8c54-d4322dbc7ea5,DE,1957-07-23,,Person,male,
Walter Carlos,bb54817c-6829-4ccc-bc58-030abb85c583,AR,1890-12-11,1935-06-24,Person,male,
The Charles Fold Singers,2f212354-314b-4d03-84ab-8c926525cb73,,,,,,
James Rado,0d1ce316-dfdd-41d2-aabd-9d18660ccfbd,US,1932-01-23,2022-06-21,Person,male,"US actor, playwright, director, writer & composer"
producer; Peter Laenger,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,,,,Person,male,
LFT Church Choir,08c377ef-31c4-456c-aff1-79664592a8a1,IS,,,Group,,
Teri Rolston,7091acd4-75e7-4ea4-8c0e-6d57813b34b2,CA,1967-01-31,,Person,female,
Gary Clark Jr.,c733c4e6-22a2-499d-ace7-17b832356aff,US,1984-02-15,,Person,male,American musician
Count Basie Orchestra; Grover Mitchell,885f0f99-e945-4181-9990-bff2762ef9b8,US,1935,,Group,,
Joe Henderson,bcab8301-c7e5-4689-a4ad-9ee947b4ce37,US,1937-04-24,2001-06-30,Person,male,US jazz tenor saxophonist
Jekalyn Carr,76ae7c4d-3aa9-4f93-a11e-14d29f4f36b6,,1997-04-22,,Person,female,US gospel singer-songwriter
Childish Gambino,7fb57fba-a6ef-44c2-abab-2fa3bdee607e,US,1983-09-25,,Person,male,
Twenty One Pilots,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,US,2009,,Group,,
producer; Pierre Boulez,24b226f7-c496-4e6d-b872-c9fa2fd75e4e,,,,Person,male,
Hildur Guðnadóttir,8a399a51-6b93-448e-82c0-f86c83602605,IS,1982-09-04,,Person,female,Icelandic musician and score composer
Tony Iommi,e5fa0175-2e93-4ca7-90c3-33f239381252,GB,1948-02-19,,Person,male,
Marian Mercer,b342d50e-401c-4c77-b7e4-2b3e7beaf00a,US,1909-11-18,1976-06-25,Person,male,
songwriters (Peter Gabriel),8e66ea2b-b57b-47d9-8df0-df4630aeb8e5,GB,1950-02-13,,Person,male,formerly of Genesis
Tom Jones,57c6f649-6cde-48a7-8114-2a200247601a,,1940-06-07,,Person,male,Welsh pop singer
Vladimir Horowitz,81269a28-c616-4e87-8942-a6f8e59b68e4,US,1903-09-18,1989-11-05,Person,male,Ukrainian-American pianist and composer
Young People's Chorus Of NY City,125ec42a-7229-4250-afc5-e057484327fe,XW,,,Other,not applicable,"Special Purpose Artist – Do not add releases here, if possible."
Andre Previn,06538137-47eb-4dd6-bb78-5c8afa1a1885,US,1929-04-06,2019-02-28,Person,male,"pianist, conductor, composer, arranger"
Mamas And The Papas,ff294730-0315-440d-a543-54005779c15b,US,1965,1972,Group,,American folk rock vocal group
Kirk Franklin,2f9ecbed-27be-40e6-abca-6de49d50299e,US,1942-03-25,2018-08-16,Person,female,
Thomas Dybdahl,792cec6c-2b5a-4076-beb5-669125ae58a2,NO,1979-04-12,,Person,male,Norwegian singer-songwriter
Julian Lage,c116b504-ce24-4264-96dc-d10a7458236f,US,1987-12-25,,Person,male,US guitarist
Christopher Reeve,236ef438-b369-49f7-a8e1-f200e10ab725,US,1952-09-25,2004-10-10,Person,male,
Arif Mardin,0fc2b542-ecff-48a1-9802-f789a147c1e0,US,1932-03-15,2006-06-25,Person,male,
Carrie Underwood,70f0e309-5418-49b6-a130-666e2f76eecd,US,1983-03-10,,Person,female,
The Chipmunks,14553432-e492-420d-99ed-6e2fd6b4543f,US,1958,,Group,,
Sandi Patti,46bd1529-4301-4d10-9124-17d9e858034e,US,1927-11-08,2013-01-01,Person,female,
Jeff Carson,625482ce-0dc0-4516-9169-95ec98400fdf,US,1963-12-16,2022-03-26,Person,male,
Shawn Mendes,b7d92248-97e3-4450-8057-6fe06738f735,CA,1998-08-08,,Person,male,
Metropolitan Opera Chorus; Metropolitan Opera Orchestra,9ade995f-2a67-4268-8220-07ffd2d4984e,,,,Choir,,
Hoagy Carmichael,75f6fe4b-8a7a-4f3c-9232-e6a00ac37491,US,1899-11-22,1981-12-27,Person,male,
Sirah,e451c0ae-5dbe-42d2-9830-9bc96efa3ea9,US,1988-07-28,,Person,female,
Masumi Per Rostad,d979706e-cbfd-4529-bf82-d76cfe81cdb9,,,,Person,male,violist
Milwaukee Symphony Orchestra,38712b4c-0fd4-4c65-8c7a-45676fecc973,GB,1904,,Orchestra,,
Joan Sebastian,24f1766e-9635-4d58-a4d4-9413f9f98a4c,DE,1685-03-21,1750-07-28,Person,male,German Baroque period composer & musician
Joan Morris,b8634d0b-e1f8-4671-9ed9-21e9a03973ed,CA,1970-05-25,,Person,male,Canadian score composer
Blanton Alspaugh (producer),35f39afb-ef20-4c8c-9ee6-bef74c49ce0f,US,,,Person,male,Producer
NewBreed,9e3b7cc0-d99c-4b77-aa61-655e10cc4722,PL,1999-11,,Group,,Polish progressive metal band
Samuel Barber,74ed34ce-ee95-44e9-a87d-4d2d5056c24a,US,1910-03-09,1981-01-23,Person,male,"American orchestral, choral, opera & piano composer"
Robert Shaw; Atlanta Symphony Orchestra,85545102-7c29-4707-aea2-30ff55018df9,US,1910-05-23,2004-12-30,Person,male,
Thomas Quasthoff,c7e94da5-87ea-4a91-adc8-26e2ae904e10,DE,1959-11-09,,Person,male,bass-baritone
Jeannie Seely,38491b0f-7994-46bc-9b45-80c72d8436d4,US,1940-07-06,,Person,female,country singer
David Holt,38d64df7-5b7f-42ca-9d98-9541640ca84f,JM,1947-07-11,2014-10-19,Person,male,
Kate Winslet,ceb05831-03e8-4605-904d-894ee0492d00,GB,1975-10-05,,Person,female,
San Francisco Symphony Orchestra,deebc49a-6e06-418e-860f-8c7f770a8bac,US,1911,,Orchestra,,
Angelique Kidjo,80fe34d0-6b4f-4ccd-81c3-281ab37f0451,BJ,1960-07-14,,Person,female,
Debbie Shapiro,e91c7817-73af-4bd8-a707-71e41aa6aa27,US,1971-09-29,,Person,male,American score composer
(Joe South),32f2d6bd-c22b-42cf-a7bc-0c4b48cd2bcb,GB,1944-05-20,2014-12-22,Person,male,
Metropole Orkest Conducted By Jules Buckley,acbf2a8c-670f-4881-85f9-a89f5c3a7073,GB,1980-01-08,,Person,male,
Original 1986 Cast,b5385f9b-d85a-4f70-b811-7f17d370aff8,US,2004,,Group,,US rock band
Jason Isbell And The 400 Unit,857c2983-0a33-466f-8607-28504ba8a6c0,US,2009,,Group,,
Kacey Musgraves,d1393ecb-431b-4fde-a6ea-d769f2f040cb,US,1988-08-21,,Person,female,
La Ley,63c5d2a6-bc32-4991-bf3a-9efe3a1d741b,CL,1987,,Group,,Chilean rock band
Orchestre De L'Opera Nationale De Lyon,e5bbe9d4-d91e-4c81-8735-3a64ed9b21db,,1983,,Orchestra,,
Foxes,19fccfa3-84ad-42b2-b52d-d5d9a5a6046e,GB,1989-04-29,,Person,female,UK pop singer-songwriter Louisa Rose Allen
Carpenters,4580d83b-093e-4241-91fb-2dd71f5f1f3f,US,1968,1983,Group,,
Manhattan Opera Chorus; Metropolitan Opera Orchestra,2078e408-7594-416a-b282-d9583bdbe826,US,,,Choir,,
Chris Perez Band,26dbcfcc-24a3-4194-910c-463ee30259c5,,1996,,Group,,
George Coe,d6ad0ad1-2a7c-4d5f-8776-331a3732360c,US,1939-09-06,,Person,male,
Ithaca College Concert Choir,9f4085e2-48e7-4e0a-a463-761fc81aa494,,,,Choir,,
Christopher Mintz-Plasse,79e5aaac-5804-4834-95c8-beb5d580982d,US,1989-06-20,,Person,male,
Johnny Winter,8300d0fa-d120-47f6-a84e-91f140c74767,US,1944-02-23,2014-07-16,Person,male,American blues/rock musician
Eartha,02b4a39e-04c0-4eb7-a0eb-c919f3d14154,US,1927-01-17,2008-12-25,Person,female,
Meghan Trainor,b2029169-2574-4305-820f-252a5fde3697,US,1993-12-22,,Person,female,American singer
Eugene Istomin,f81cc557-3e10-4b30-bc1d-bc21ec235a54,US,1925-11-26,2003-10-10,Person,male,pianist
songwriters (They Might Be Giants),183d6ef6-e161-47ff-9085-063c8b897e97,US,1982,,Group,,
conductor; Los Angeles Chamber Singers' Capella (Corey Carleton),119d8f48-84dd-4cd7-93e7-2a5eca6cc9db,,2021,,Group,,Cape Breton band
Glen Duncan,402a470c-3482-4c9c-ac09-7a8270f5daf2,GB,,,Person,male,
Erich Kunzel,99845d0c-f239-4051-a6b1-4b5e9f7ede0b,US,1935-03-21,2009-09-01,Person,male,conductor
Sukhvinder Singh,ff7d390f-03be-40e4-9210-3e0f660966df,IN,1941-02-08,2011-10-10,Person,male,
Conspirare,34cd3689-607a-4a2d-8997-f9ddd71e74fb,,1991,,Choir,,
Thom Bell,96b63688-fb86-4aff-b682-85f0165bece1,US,1943-01-27,2022-12-22,Person,male,"keyboards, songwriter, producer"
The King's Singers,9170ee99-b422-4134-a1f9-9f4e5aaf8127,GB,1968,,Group,,
Orchestra Of St. Luke's,2dc04707-7cf9-4e9b-8869-6cb5644794b8,US,1979,,Orchestra,,
David Guetta,302bd7b9-d012-4360-897a-93b00c855680,FR,1967-11-07,,Person,male,
Oumou Sangare,2013f3af-51a3-404d-9afc-91b3f277ea4e,ML,1968-02-12,,Person,female,
Chuck Mangione and also Herb Alpert,db76f244-049f-440e-be53-cc5f3c0cdfb6,US,1935-03-31,,Person,male,
Texas Tornados,6316c2bc-3749-4ccf-8e10-f2b136e21448,US,1989,,Group,,US Tejano supergroup
Luis Miguel,90270118-8ed0-4446-bf97-8a09b3f9e8f3,MX,1970-04-19,,Person,male,
The Kingston Trio,78977492-5888-4c7a-92b3-95293e90a653,US,1957,1967,Group,,
Glen Ballard,4d9768fd-947c-4b0a-beba-6191e2c830e2,US,1953-05-01,,Person,male,
Bernhard Forck; Akademie für Alte Musik Berlin,039974eb-dbea-4178-9e6c-f0a338c32fe0,DE,1963,,Person,male,conductor/violinist
Darlene Edwards (Jo Stafford And Paul Weston),1761dd90-8afd-4e77-8fd8-3f6028f02cf8,US,1917-11-12,2008-07-16,Person,female,
Houston Grand Opera Children's Chorus; Houston Symphony,099c1cc9-fc49-43b9-89b9-35008cc377bf,,,,Group,,
The Alan Parsons Project,f98711e5-06f7-43ed-8239-da0f61a9c460,GB,1975,1987,Group,,
Los Angeles Opera Chorus; Los Angeles Opera Orchestra,5080bcf8-131f-4804-b4d7-763c9d0beda2,,,,Choir,,"opera chorus of the Los Angeles Opera, which performs in the Los Angeles Music Center"
Alphabet Rockers,bf1c3e33-d71b-49f6-b533-e1014ab1df83,,,,,,
(Depeche Mode),8538e728-ca0b-4321-b7e5-cff6565dd4c0,GB,1980-03,,Group,,
Maggie Rogers,c3d14b41-a48d-488f-bfed-ce0597bb0b1f,US,1938-08-21,2020-03-20,Person,male,"US country singer, songwriter, actor, record producer & entrepreneur"
Chorus Of Opera De Lyon; Orchestre Of Opera De Lyon,27b62080-8d9d-448f-9594-353ef6c12961,,,,Choir,,
The Crossing; PRISM Quartet,78f8dbc1-fbdd-48af-9501-39677a71b9eb,,2005-11,,Choir,,US professional choir
Sydney Chaplin,881e531d-b458-4fe3-8d2b-3c857012dc36,US,1926-03-30,2009-03-03,Person,male,
Parker Quartet (Jessica Bodner,d9b2e5c7-ae40-4785-a106-43a2a4b55b84,US,,,Person,female,violist
Laura Claycomb,e0c38b87-1471-4236-a9c2-1de8c5a61e7e,US,1968-08-23,,Person,female,soprano
Max Martin,5e6c760b-42e0-4df4-a221-0269355da00a,US,1917-06-07,1995-12-25,Person,male,American singer/actor
Celine Dion,847e8a0c-cc20-4213-9e16-975515c2a926,CA,1968-03-30,,Person,female,
Rick Nelson,0b511854-c21c-4af1-9c31-e3fc178ded61,US,1940-05-08,1985-12-31,Person,male,rock n roll artist
Mike Post,8a667f87-540c-4635-87bb-a9151693935f,US,1944-09-29,,Person,male,
Pete Seeger,af18a9bc-e4ab-4068-9489-b64e8186fcf1,US,1919-05-03,2014-01-27,Person,male,
Rundfunkchor Berlin; Deutsches Symphonie-Orchester Berlin,d0cbe60f-f919-4873-8c64-537fd600a4f5,DE,1925-05,,Choir,,
BBC Symphony Orchestra,5b13c665-88eb-4e80-9a06-218a660fcf6b,GB,1930,,Orchestra,,
Neil Dorfsman,1c8886f6-313b-46fa-b5e9-e4f8cb065569,US,,,Person,male,
songwriters (Madonna),79239441-bfd5-4981-a70c-55c3f15c1287,US,1958-08-16,,Person,female,“Queen of Pop”
San Francisco Symphony Chorus; San Francisco Symphony Orchestra,568d7c51-0573-4c65-9211-65bf8c8470c7,US,1972,,Choir,,
Talking Heads,a94a7155-c79d-4409-9fcf-220cb0e4dc3a,US,1974,1991-12,Group,,
The Travelin' McCourys,e72e78f7-db4c-404d-9740-8f19cc08375c,US,2009,,Group,,
Georgia Anne Muldrow,caf1cb4b-5bd0-4b4c-aecf-53de52cd18d1,US,1983,,Person,female,US jazz musician
Tui Hirv,a8a99e60-1488-4c68-ac3f-6614cd53b66b,EE,1984-05-05,,Person,female,
Michelle Branch,a10f94a9-2a3c-4166-b9fa-a7bed0bf7d96,US,1983-07-02,,Person,female,
Monteverdi Choir; London Symphony Orchestra,a3016390-1ea7-41e2-afac-8d3d3d021fe0,GB,1964,,Choir,,English vocal Baroque ensemble
Guy Clark,e885f72e-4617-46de-9454-5485061f29b3,US,1941-11-06,2016-05-17,Person,male,
Andreas Vollenweider,6438bd71-ddc1-4619-a383-20d28ee55b43,CH,1953-10-04,,Person,male,
Gwen Verdon,6d20767f-d03c-489e-b97c-70236576ef4e,US,1925-01-13,2000-10-18,Person,female,
Lupillo Rivera,3b645f08-84e7-46ed-a072-b3832378c357,MX,1972-01-30,,Person,male,
Kathy Griffin,090d4dee-0248-4f09-987a-f9b78dd30e1f,US,1960-11-04,,Person,female,comedian
The 1975,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,GB,2002,,Group,,
John Denver,34e10b51-b5c6-4bc1-b70e-f05f141eda1e,US,1943-12-31,1997-10-12,Person,male,
Robert Palmer,96b1d906-0fda-406d-beb6-19c6758998df,GB,1949-01-19,2003-09-26,Person,male,English singer‐songwriter
Joe Zawinul,dfe8c9e1-10c0-49ab-a07a-5b4c60179611,AT,1932-07-07,2007-09-11,Person,male,jazz and fusion keyboard player
songwriter (Celine Dion),847e8a0c-cc20-4213-9e16-975515c2a926,CA,1968-03-30,,Person,female,
"Christone ""Kingfish"" Ingram",779f771b-8d62-4f90-9a82-95e542e2784b,,1999-01-19,,Person,male,
Heather Buck,13cb0fb4-7f7f-4116-a282-905c675c39ef,US,1929-08-12,2006-03-25,Person,male,
The Cleveland Orchestra,f33b188e-b80f-4058-92ca-0e30c04ad2fa,US,1918,,Orchestra,,
Joe Williams,53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,US,1932-02-08,,Person,male,American score composer
Quincy Jones (And Various Artists),89ad4ac3-39f7-470e-963a-56509c546377,,,,Other,,add compilations to this artist
Cast Members,3c516f6c-0b18-4241-8a9d-7d7bc958912d,GB,1977,,Group,,UK punk band
Vincent de Rosa,730b1ec3-2b26-4616-8f15-e1ae3545525f,GB,2001,2009-05,Group,,
Joy Nichols,c65f1257-dfd6-4afb-8f4c-98dd9d538ab4,,,,Person,female,
Vaughn Meader,c70bd566-0c54-4ab8-aca3-b042dec62cdb,US,1936-03-20,2004-10-29,Person,male,
Terraza Big Band,fa3b3e3c-7615-4b64-8a49-c9f365ad3290,DK,1964,,Orchestra,,"Danish Radio’s jazz orchestra/big band, known under several names over the years"
Philip Bailey,f4b25300-be93-49bc-9d44-15f9de480f50,US,1951-05-08,,Person,male,
Klaus Voormann,3f114714-880f-46d7-8240-c873b4d3f3b6,DE,1938-04-29,,Person,male,
Miguel,98ad7a28-1949-4786-b1f6-4fa05b9b440c,ES,1956-04-03,,Person,male,
Jean Stapleton,71c9c2e7-7f3c-42ef-8a48-aff865cd2446,GB,,,Group,,
The Civil Wars),91dad7e7-0bf6-47e8-bd42-ef1fac32c729,US,2009,2014-08-05,Group,,
Mikhail Gorbachev,22e452dc-dd0f-41c9-ae2e-ac0633472b55,,,,,,
Lynn Harrell,813d4c5f-e81e-4d6a-b6fc-510b9baca853,US,1944-01-30,2020-04-27,Person,male,cellist
R. Kelly,c2d25856-a09a-4d15-b404-77dd19c19e63,US,1967-01-08,,Person,male,
Matthias Goerne; Leif Ove Andsnes,246fa33b-223d-45c3-98a7-fe95196492b7,DE,1967-03-31,,Person,male,baritone
Sebastian Cabot,af2eb4da-3d69-45f0-9591-3b0f9a8b7379,GB,1918-07-06,1977-08-22,Person,male,
Ryan Lewis,b59ac58d-036e-4bba-8112-c32a34c4575b,US,1935-09-29,2022-10-28,Person,male,"Rock & Roll pianist, nicknamed “The Killer”"
Audio Adrenaline,f12a9472-02be-40f4-9ff3-a836e2b9ece8,US,1991,2017,Group,,
Martha Cluver,64c136d0-9f28-4e4e-8259-4a37b005e373,US,,,Person,female,
Static Major,a3c5e7b0-fde0-4b65-a89c-bab42c366c43,US,1974-11-11,2008-02-25,Person,male,"US rapper, songwriter & producer, aka Static"
Vince Mendoza conducting The WDR Big Band Köln,df8cfd32-78c8-43ce-a1c5-2d3e9296b0f4,,,,Group,,
LL Cool J,a4dd0e77-83b8-4e92-89b7-effb0e47fd8c,US,1968-01-14,,Person,male,
Christoph Eschenbach,67307b9a-5f5c-4611-8d41-d439d343fa84,DE,1940-02-20,,Person,male,pianist and conductor
Daniel Shirley; PaTRAM Institute Singers,05ec70a5-3858-4346-a649-fda0a297b8c1,,1937-01-08,,Person,female,Welsh singer
Gregor Piatigorsky,98af165c-cdf5-4033-8c72-c0189d46cdd1,US,1903-04-17,1976-08-06,Person,male,cellist
The Stanley Clarke Band,b49e56fb-a439-40b2-bcb2-83e6e7067a15,US,,,Group,,
Robina G. Young,9c6d9849-b0a5-4861-a6a0-fb0f85c795e7,GB,,,Person,female,producer
Caspar Babypants,7087ea36-acca-435b-a063-6819b0baa116,,,,Person,male,
Wouter Kellerman,88f4bcae-ca52-47d4-80cf-ea434f53ac45,ZA,1961-09-20,,Person,male,
John Mayer,144ef525-85e9-40c3-8335-02c32d0861f3,US,1977-10-16,,Person,male,US singer‐songwriter
Tanya Goodman,b09ae88f-4156-4caa-b129-1cacb5e1632e,US,1909-05-30,1986-06-13,Person,male,clarinetist and bandleader
John Morris Russell,ce98ab1f-fc7b-4eaa-a375-7beccc105184,AU,1948-07-31,,Person,male,
Flatt And Scruggs,77029a1c-76fa-4350-a1a8-dacc10230b6f,US,,,Group,,
Gordon Goodwin's Big Phat Band,443612b6-5180-4956-bad9-b81707f09973,US,1999,,Group,,
Peter Gabriel,8e66ea2b-b57b-47d9-8df0-df4630aeb8e5,GB,1950-02-13,,Person,male,formerly of Genesis
BJ The Chicago Kid,112beffb-1adc-488b-8d61-7b2ab3475d52,US,1984-11-23,,Person,male,
Caribbean Jazz Project,c553f144-2572-42ac-affa-29638bd348da,US,1993,,Group,,Latin jazz band
Kaunas City Symphony Orchestra,76c343ce-2f26-4551-8045-ecf7c8c3c4f0,LT,1988,,Orchestra,,
